date_processed,collection_site,collection_time,kelpline_depth,5-10m_distance_depth,deep_depth_ft,date_collected,processed_by,slope_distance_m,species,urch_no,tissue_vial_no,field_depth_ft,width_mm,height_mm,total_mass_g,cracked_mass_g,gonad_mass_g,roe_color,roe_character,viscera_mass_g,stomach_contents,notes
7/29/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,130,NaN,35,53,28,67,51,1.1,orange,partially spawned,1.4,"kelp, shell hash",
7/29/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,131,NaN,35,56,27,84,68,2.5,orange,partially spawned,1.9,kelp,
7/29/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,132,NaN,35,34,15,21,18,0.1,light yellow,spawned out,0.5,"kelp, shell hash",
7/29/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,133,NaN,35,32,15,16,12,0.1,light yellow,spawned out,0.4,kelp,
7/29/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,134,NaN,35,50,23,55,42,0.9,yellow,partially spawned,1.3,kelp,
7/29/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,135,NaN,35,37,21,27,23,0.3,light yellow,spawned out,0.7,kelp,
7/29/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,136,NaN,35,44,20,38,30,1,yellow,partially spawned,1,kelp,
7/29/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,137,NaN,35,20,10,6,5,0,NaN,NaN,0.1,"kelp, shell hash",
7/29/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,138,NaN,35,51,25,71,55,1,yellow,partially spawned,1.6,"kelp, shell hash",
7/29/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,139,NaN,35,59,26,94,66,1.2,yellow,partially spawned,1.6,kelp,
7/29/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,140,NaN,35,40,22,36,26,NaN,yellow,partially spawned,0.7,"kelp, shell hash",
