Year,Month,Day,Site,Plot,Observer,SurveyType,TransectLevel,TransectLength.m,TransectWidth.m,TimeStart,TimeEnd,10mSection,ShoreDirection,HorizViz(m),VertViz(m),Depth.ft,Depth.m,Substrate1,Substrate2,KelpCover,Habitat,Species,Sex,Size.mm,Size.cm,Count,Behaviour,AbaloneCover,AbaloneSubstrate,Notes
2017,Sep,9,Murchison NE,1,SJ,b.fish,mid,30,2,14:00,14:06,,,2.5,3,25,,LB,MB,NKC,UB,S. melanops,,,25,1,,,,
2017,Sep,9,Murchison NE,1,SJ,b.fish,mid,30,2,14:00,14:06,,,2.5,3,25,,LB,MB,NKC,UB,S. mystinus,,,20,1,,,,
2017,Sep,9,Murchison NE,1,SJ,b.fish,mid,30,2,14:00,14:06,,,2.5,3,25,,LB,MB,NKC,UB,S. mystinus,,,25,1,,,,
2017,Sep,9,Murchison NE,1,SJ,b.fish,mid,30,2,14:00,14:06,,,2.5,3,25,,LB,MB,NKC,UB,S. mystinus,,,15,2,,,,
2017,Sep,9,Murchison NE,1,SJ,b.fish,mid,30,2,14:00,14:06,,,2.5,3,25,,LB,MB,NKC,UB,YB juv,,,6,3,,,,
2017,Sep,9,Murchison NE,1,SJ,b.fish,mid,30,2,14:00,14:06,,,2.5,3,25,,LB,MB,NKC,UB,Oxylebius,,,15,1,,,,
2017,Sep,9,Murchison NE,1,SJ,b.fish,mid,30,2,14:00,14:06,,,2.5,3,25,,LB,MB,NKC,UB,Oxylebius,,,12,1,,,,
2017,Sep,9,Murchison NE,1,SJ,b.fish,mid,30,2,14:00,14:06,,,2.5,3,25,,LB,MB,NKC,UB,H. decagrammus,M,,35,1,,,,
2017,Sep,9,Murchison NE,1,SJ,b.fish,mid,30,2,14:00,14:06,,,2.5,3,25,,LB,MB,NKC,UB,S. nebulosus,,,15,1,,,,
2017,Sep,9,Murchison NE,1,SJ,b.fish,mid,30,2,14:00,14:06,,,2.5,3,25,,LB,MB,NKC,UB,S. nebulosus,,,18,1,,,,
2017,Sep,9,Murchison NE,1,SJ,b.fish,mid,30,2,14:00,14:06,,,2.5,3,25,,LB,MB,NKC,UB,Embiotoca,,,12,1,,,,
2017,Sep,9,Murchison NE,1,SJ,m.fish,mid,30,2,14:07,14:12,,,2.5,3,25,,LB,MB,NKC,UB,S. mystinus,,,15,8,,,,
2017,Sep,9,Murchison NE,1,SJ,m.fish,mid,30,2,14:07,14:12,,,2.5,3,25,,LB,MB,NKC,UB,UD juv rf (dusky-like),,,6,20,,,,
2017,Sep,9,Murchison NE,1,SJ,m.fish,mid,30,2,14:07,14:12,,,2.5,3,25,,LB,MB,NKC,UB,YB juv,,,6,20,,,,
2017,Sep,9,Murchison NE,1,SJ,b.fish,shallow,30,2,15:40,15:46,,,2.5,4,14,,BRl,LB,NKC,UB,YB juv,,,6,10,,,,Lingcod swam off transect while it was being set- did not see upon return
2017,Sep,9,Murchison NE,1,SJ,b.fish,shallow,30,2,15:40,15:46,,,2.5,4,14,,BRl,LB,NKC,UB,UD juv rf (dusky-like),,,6,10,,,,Lingcod swam off transect while it was being set- did not see upon return
2017,Sep,9,Murchison NE,1,SJ,b.fish,shallow,30,2,15:40,15:46,,,2.5,4,14,,BRl,LB,NKC,UB,S. nebulosus,,,4,1,,,,Lingcod swam off transect while it was being set- did not see upon return
2017,Sep,9,Murchison NE,1,SJ,m.fish,shallow,30,2,15:46,15:50,,,2.5,4,14,,BRl,LB,NKC,UB,YB juv,,,5,30,,,,Lingcod swam off transect while it was being set- did not see upon return
2017,Sep,9,Murchison NE,1,SJ,m.fish,shallow,30,2,15:46,15:50,,,2.5,4,14,,BRl,LB,NKC,UB,UD juv rf (dusky-like),,,6,35,,,,Lingcod swam off transect while it was being set- did not see upon return
2017,Sep,8,Murchison NW,1,OP,invert,deep,30,1,15:16,15:28,,,,,,,,,NKC,UB,Dermasterias,,,,4,,,,
2017,Sep,8,Murchison NW,1,OP,invert,deep,30,1,15:16,15:28,,,,,,,,,NKC,UB,Henricia,,,,1,,,,
2017,Sep,8,Murchison NW,1,OP,invert,deep,30,1,15:16,15:28,,,,,,,,,NKC,UB,Parastichopus,,,,4,,,,
2017,Sep,8,Murchison NW,1,OP,invert,deep,30,1,15:16,15:28,,,,,,,,,NKC,UB,green.urchin,,,4,3,,,,
2017,Sep,8,Murchison NW,1,OP,invert,deep,30,1,15:16,15:28,,,,,,,,,NKC,UB,green.urchin,,,5,2,,,,
2017,Sep,8,Murchison NW,1,OP,invert,deep,30,1,15:16,15:28,,,,,,,,,NKC,UB,ab.shell,,54,,1,,,,
2017,Sep,8,Murchison NW,1,OP,invert,deep,30,1,15:16,15:28,,,,,,,,,NKC,UB,ab.shell,,116,,1,,,,
2017,Sep,8,Murchison NW,1,OP,invert,deep,30,1,15:16,15:28,,,,,,,,,NKC,UB,ab.shell,,47,,1,,,,
2017,Sep,8,Murchison NW,1,OP,invert,deep,30,1,15:16,15:28,,,,,,,,,NKC,UB,ab.shell,,83,,1,,,,
2017,Sep,8,Murchison NW,1,OP,invert,deep,30,1,15:16,15:28,,,,,,,,,NKC,UB,red.turban,,,,87,,,,
2017,Sep,8,Murchison NW,1,OP,invert,deep,30,1,15:16,15:28,,,,,,,,,NKC,UB,leafy.hornmouth,,,,9,,,,
2017,Sep,8,Murchison NW,1,OP,invert,deep,30,1,15:16,15:28,,,,,,,,,NKC,UB,Leopard,,,,2,,,,
2017,Sep,8,Murchison NW,1,OP,invert,deep,30,1,15:16,15:28,,,,,,,,,NKC,UB,Crassadoma,,,,9,,,,
2017,Sep,8,Murchison NW,1,OP,invert,deep,30,1,15:16,15:28,,,,,,,,,NKC,UB,Ugly,,,,1,,,,
2017,Sep,8,Murchison NW,1,OP,invert,deep,30,1,15:16,15:28,,,,,,,,,NKC,UB,Chlamys,,,,3,,,,
2017,Sep,8,Murchison NW,1,OP,invert,deep,30,1,15:16,15:28,,,,,,,,,NKC,UB,Patiria,,,,2,,,,
2017,Sep,8,Murchison NW,1,OP,invert,deep,30,1,15:16,15:28,,,,,,,,,NKC,UB,C. oregon,,,,1,,,,
2017,Sep,8,Murchison NW,1,OP,invert,mid,30,1,18:01,18:12,,,,,,,,,NKC,UB,Dermasterias,,,,3,,,,
2017,Sep,8,Murchison NW,1,OP,invert,mid,30,1,18:01,18:12,,,,,,,,,NKC,UB,Henricia,,,,3,,,,
2017,Sep,8,Murchison NW,1,OP,invert,mid,30,1,18:01,18:12,,,,,,,,,NKC,UB,Parastichopus,,,,4,,,,
2017,Sep,8,Murchison NW,1,OP,invert,mid,30,1,18:01,18:12,,,,,,,,,NKC,UB,Mediaster,,,,1,,,,
